question,type,optionA,optionB,optionC,optionD,correctAnswer
"What is the capital of France?","MCQ","London","Paris","Berlin","Madrid","B"
"Which planet is known as the Red Planet?","MCQ","Venus","Jupiter","Mars","Saturn","C"
"What is the largest mammal?","MCQ","Elephant","Blue Whale","Giraffe","Hippopotamus","B"
"What is 2 + 2?","MCQ","3","4","5","6","B"
"Which element has the symbol 'O'?","MCQ","Gold","Oxygen","Silver","Iron","B"
"The Earth is flat.","TF","True","False","","","False"
"Water boils at 100°C at sea level.","TF","True","False","","","True"
"Sharks are mammals.","TF","True","False","","","False"
"The sun rises in the east.","TF","True","False","","","True"
"Mount Everest is the tallest mountain.","TF","True","False","","","True"
"Explain the process of photosynthesis.","DESCRIPTIVE","","","","",""
"Discuss the impact of the industrial revolution.","DESCRIPTIVE","","","","",""
"Describe the water cycle.","DESCRIPTIVE","","","","",""
"What are the benefits of exercise?","DESCRIPTIVE","","","","",""
"Explain the concept of supply and demand.","DESCRIPTIVE","","","","",""
"How does a blockchain work?","DESCRIPTIVE","","","","",""
"Discuss the importance of renewable energy.","DESCRIPTIVE","","","","",""
"What caused the Great Depression?","DESCRIPTIVE","","","","",""
"Describe the structure of an atom.","DESCRIPTIVE","","","","",""
"What is the theory of relativity?","DESCRIPTIVE","","","","",""
